NAME,CASTE,GENDER,CUTOFF_RANK,BRANCH,TUITION_FEE
AAR MAHAVEER ENGINEERING COLLEGE,OC,MALE,26303,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,FEMALE,26303,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,MALE,86999,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,FEMALE,86999,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,MALE,95181,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,FEMALE,113074,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,MALE,92961,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,FEMALE,118607,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,MALE,40634,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,FEMALE,53505,CSE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,MALE,40918,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,FEMALE,55055,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,MALE,108367,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,FEMALE,111600,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,MALE,125450,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,FEMALE,125450,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,MALE,123488,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,FEMALE,123488,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,MALE,68772,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,FEMALE,76791,CSM,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,MALE,52680,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,FEMALE,97089,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,MALE,98439,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,FEMALE,98439,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,MALE,125323,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,FEMALE,125323,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,MALE,121767,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,FEMALE,124052,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,MALE,85742,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,FEMALE,99034,ECE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,MALE,92254,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,FEMALE,92254,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,MALE,92254,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,FEMALE,108123,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,MALE,122491,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,FEMALE,125623,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,MALE,122995,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,FEMALE,124052,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,MALE,92254,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,FEMALE,92254,EEE,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,MALE,118327,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,OC,FEMALE,126088,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,MALE,118327,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,BC,FEMALE,126088,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,MALE,126088,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,SC,FEMALE,126088,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,MALE,118327,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,ST,FEMALE,126088,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,MALE,118327,MEC,60000
AAR MAHAVEER ENGINEERING COLLEGE,EWS,FEMALE,126088,MEC,60000
ANURAG ENGINEERING COLLEGE AUTONOMOUS,OC,MALE,68290,CIV,90000
